תאריך,ספק,מספר חשבונית,מטבע,סכום מקורי,שער המרה,"סכום בש""ח",הערות
2026-05-14,פלאפון תקשורת,8165439,ILS,67.89,1,67.89,סלולר אדוונס אסתטיק 15/04-14/05
2026-05-15,Wolt - ברד,263805873,ILS,963.90,1,963.90,
2026-05-15,Wolt - וולט מרקט,263802587,ILS,7.35,1,7.35,
2026-05-15,Wolt - סיבל,263870895,ILS,601.90,1,601.90,
2026-05-16,Apple,806134641563,ILS,155.50,1,155.50,
2026-05-17,Apple (iCloud+ 2TB),710134822041,ILS,39.90,1,39.90,
2026-05-17,Clara Marketing,2101-0099,ILS,65.00,1,65.00,
2026-05-17,Wolt - וולט מרקט,6a09fd397c3e6d96a0a4b807,ILS,832.60,1,832.60,
2026-05-17,סופה הסעות וטיולים,157807,ILS,8006.00,1,8006.00,שכירות משרד 05/26 עבור AAA
2026-05-17,סופה הסעות וטיולים,157808,ILS,3855.00,1,3855.00,ארנונה 05/26 עבור AAA
2026-05-18,Apple (Apple Music),702135500397,ILS,21.90,1,21.90,
2026-05-18,Wolt - וולט מרקט,6a0aee34b2bb43469f247954,ILS,122.40,1,122.40,
